date,FII_Net_Cr,DII_Net_Cr
2026-03-02,-3295.64,8593.87
2026-03-04,-8752.65,12068.17
2026-03-05,-3752.52,5153.37
2026-03-06,-6030.38,6971.51
2026-03-09,-6345.57,9013.8
2026-03-10,4672.64,6333.26
2026-03-11,-6267.31,4965.53
2026-03-12,-7049.87,7449.77
2026-03-13,-10716.64,9977.42
2026-03-16,-9365.52,12593.36
2026-03-17,-4741.22,5225.32
2026-03-18,-2714.35,3253.03
2026-03-19,-7558.19,3863.96
2026-03-20,-5518.39,5706.23
2026-03-23,-10414.23,12033.97
2026-03-24,-8009.56,5867.15
2026-03-25,-1805.37,5429.78
2026-03-27,-4367.3,3566.15
2026-03-30,-11163.06,14894.72
2026-04-01,-8331.15,7171.8
2026-04-02,-9931.13,7208.41
2026-04-06,-8167.17,8088.7
2026-04-07,-8692.11,7979.5
2026-04-08,-2811.97,4168.17
2026-04-09,-1711.19,955.9
2026-04-10,672.09,410.05
2026-04-13,-1983.18,2432.3
2026-04-15,666.15,-568.98
2026-04-16,382.36,-3427.75
2026-04-17,683.2,-4721.48
2026-04-20,-1059.93,2966.89
2026-04-21,-1918.99,2221.27
2026-04-22,-2078.36,-1048.17
2026-04-23,-3254.71,941.35
2026-04-24,-8827.87,4700.71
2026-04-27,-1151.48,4123.92
2026-04-28,-2103.74,1712.01
2026-04-29,-2468.42,2262.17
2026-04-30,-8047.86,3487.1
2026-05-04,2835.62,4764.16
2026-05-05,-3621.58,2602.62
2026-05-06,-5834.9,6836.87
2026-05-07,-340.89,441.07
2026-05-08,-4110.6,6748.13
2026-05-11,-8437.56,5939.65
2026-05-12,-1959.39,7990.32
2026-05-13,-4703.15,5869.05
2026-05-14,187.46,684.33
2026-05-15,1329.17,-1958.82
2026-05-18,2813.69,2682.12
2026-05-19,-2457.49,3801.68
2026-05-20,-926.15,1339.25
2026-05-21,-2200.03,2334.27
2026-05-22,-4357.09,4990.82
2026-05-25,704.9,3717.64
2026-05-26,-1657.92,649.16
2026-05-27,-655.49,3425.39
2026-05-29,-20636.63,16260.28
